user,tweet
Al Jazeera English,Gunman fires at demonstrators at a protest rally against India's new citizenship law in Delhi… https://t.co/QaKpvTW3y4
🇮🇳 Indrani_se_nani 🇮🇳,"गोडसे जिंदा है हमारे दिलों मे 😍😍🙏
पर तुम्हारे मे तो kasab, लादेन, अफजल गुरु,
Haifz said, MasoodAzhar, एहसान dar etc… https://t.co/PS1gsAJrwA"
IndiaTomorrow.net,@Nehr_who @sudhirchaudhary https://t.co/G6hhZr6yOx
Abaji kadam,@ArvindKejriwal और जो सवाल सेना के पराक्रम पे उठाये सर्जिकल स्ट्रॉंईक के सबुत मांगे और राशन कार्ड के बदले मे महिला… https://t.co/o03KKwv2Kg
thakursahab,"Let us not waste words on this one, every minister &amp; leader of the ""Goli Maaro Gaddaron Ko"" brigade, the party chie… https://t.co/zOJh8mzBAt"
Gyanendra Singh,"@rahulkanwal Dear Rahul
Do they know the meaning of CAA?
Do they know that NRC for Assam only and it is not applied any where in India?"
Viरु,"मत कर चिंता आलू-प्याज की कल सस्ती हो जायेगी, लेकिन CAA, NRC का सपोर्ट नहीं किया तो तुम्हारे घर के आस पास रोहिंग्या की बस्ती बन जायेगी.."
IndiaTomorrow.net,@Journo_Z https://t.co/G6hhZr6yOx
Meher Naushad,"#NathuramGodse returns
https://t.co/supIOvZA0F"
Devendra हिन्दू,"जो सुरती लोगो ने किया वोह सारे देश को करना चाहिए फिर ये CAA, NRC सब मानेगे 🙏🙏🙏

 @Payal_Rohatgi @shuklapinku… https://t.co/3cW2hyT4Sg"
IndiaTomorrow.net,@Nehr_who https://t.co/G6hhZr6yOx
Yahya,@BDUTT I’ve heard those slogans in pro CAA rallies.
Parth Mehrotra,REAL MUSLIMS SUPPORT CAA NRC NPR . #Jamia
Love Chowkidar,@Muralik79739498 @NaMo_Phani https://t.co/5WW0Jf5ROV
